sku,size_code,size,quantity,promotion_code,list_unit_price_ex_gst,discount_ex_gst,unit_price_ex_gst,loaded_landed_cost,product_gross_margin_pct,checkout_route,configuration
BC-204,200ML,200 ml,1000,PACK7,57.89,4052.30,53.84,34.99,35.01,payment confirmation,standard
BC-204,200ML,200 ml,1000,PACK7,86.84,6078.80,80.76,52.49,35.01,payment confirmation,premium
BC-204,30ML,30 ml,2500,PACK7,21.16,3703.00,19.68,12.79,35.01,payment confirmation,standard
BC-204,30ML,30 ml,2500,PACK7,31.73,5552.75,29.51,19.18,35.00,payment confirmation,premium
BC-204,50ML,50 ml,2500,PACK7,28.59,5003.25,26.59,17.28,35.01,payment confirmation,standard
BC-204,50ML,50 ml,2500,PACK7,42.88,7504.00,39.88,25.92,35.00,payment confirmation,premium
BC-204,100ML,100 ml,2500,PACK7,36.60,6405.00,34.04,22.12,35.01,payment confirmation,standard
BC-204,100ML,100 ml,2500,PACK7,54.89,9605.75,51.05,33.18,35.00,payment confirmation,premium
BC-204,200ML,200 ml,2500,PACK7,46.31,8104.25,43.07,27.99,35.01,payment confirmation,standard
BC-204,200ML,200 ml,2500,PACK7,69.47,12157.25,64.61,41.99,35.01,payment confirmation,premium
BC-205,15ML,15 ml,200,PACK7,36.20,506.80,33.67,21.88,35.01,online checkout,standard
BC-205,15ML,15 ml,200,PACK7,54.30,760.20,50.50,32.82,35.01,online checkout,premium
BC-205,30ML,30 ml,200,PACK7,48.26,675.64,44.88,29.17,35.01,online checkout,standard
BC-205,30ML,30 ml,200,PACK7,72.40,1013.60,67.33,43.76,35.01,online checkout,premium
BC-205,50ML,50 ml,200,PACK7,56.94,797.16,52.95,34.42,35.00,online checkout,standard
BC-205,50ML,50 ml,200,PACK7,85.41,1195.74,79.43,51.63,35.00,online checkout,premium
BC-205,100ML,100 ml,200,PACK7,71.42,999.88,66.42,43.17,35.01,online checkout,standard
BC-205,100ML,100 ml,200,PACK7,107.13,1499.82,99.63,64.76,35.00,online checkout,premium
BC-205,15ML,15 ml,500,PACK7,28.14,984.90,26.17,17.01,35.00,online checkout,standard
BC-205,15ML,15 ml,500,PACK7,42.21,1477.35,39.26,25.51,35.02,online checkout,premium
BC-205,30ML,30 ml,500,PACK7,37.52,1313.20,34.89,22.68,35.00,online checkout,standard
BC-205,30ML,30 ml,500,PACK7,56.28,1969.80,52.34,34.02,35.00,online checkout,premium
BC-205,50ML,50 ml,500,PACK7,44.27,1549.45,41.17,26.76,35.00,online checkout,standard
BC-205,50ML,50 ml,500,PACK7,66.41,2324.35,61.76,40.14,35.01,online checkout,premium
BC-205,100ML,100 ml,500,PACK7,55.54,1943.90,51.65,33.57,35.01,online checkout,standard
BC-205,100ML,100 ml,500,PACK7,83.30,2915.50,77.47,50.35,35.01,online checkout,premium
BC-205,15ML,15 ml,1000,PACK7,22.78,1594.60,21.19,13.77,35.00,online checkout,standard
BC-205,15ML,15 ml,1000,PACK7,34.18,2392.60,31.79,20.66,35.01,online checkout,premium
BC-205,30ML,30 ml,1000,PACK7,30.38,2126.60,28.25,18.36,35.02,online checkout,standard
BC-205,30ML,30 ml,1000,PACK7,45.56,3189.20,42.37,27.54,35.00,payment confirmation,premium
BC-205,50ML,50 ml,1000,PACK7,35.84,2508.80,33.33,21.66,35.02,online checkout,standard
